[header]
width=25
height=20
tilewidth=32
tileheight=32
orientation=orthogonal

[tilesets]
tileset=rpg_maker_vx_rtp_tileset_by_telles0808.png,32,32,0,0

[layer]
type=Tile Layer 1
data=
97,97,97,1679,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,
1105,1171,1172,1711,1241,1242,657,1111,1112,1142,1142,1142,1142,1142,665,665,665,665,665,665,665,665,665,1098,1098,
1137,1203,1204,690,1273,1274,689,1143,1144,1142,1142,1142,1142,1142,1497,1743,1500,1743,1500,1743,1500,1743,1500,1098,1098,
689,689,689,689,689,689,690,690,690,1142,1142,1142,1142,1142,1497,1530,1530,1530,1530,1530,1530,1530,1532,1098,1098,
1247,690,690,690,689,690,689,689,689,1142,1142,1142,1142,1142,1500,1098,1098,1098,1098,1098,1098,1098,1098,1098,1884,
1279,689,689,689,689,1815,1816,1817,689,689,689,689,689,690,1500,1098,1098,1098,1098,1098,1098,1098,1098,1098,1916,
1311,690,690,690,690,1847,1848,1849,690,690,690,690,690,690,1500,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,
1497,1498,1499,1498,1499,1498,1499,1498,1499,1498,1498,1499,1498,1499,1500,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,
1529,1530,1531,1530,1531,1530,1531,1530,1531,1530,1531,1530,1531,1530,1532,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,
1098,1098,1098,1098,1098,1133,1102,1102,1102,1102,1102,1102,1102,1102,1134,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,
1098,1098,1098,1098,1098,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1134,23,
1098,1098,1098,1098,1098,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,55,
1098,1098,1098,1098,1098,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1102,1166,87,
1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,
1098,1098,1098,1098,1881,1098,1098,1098,1098,1098,1098,1098,1098,1883,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,
1098,1098,1098,1098,1913,1098,1098,1098,1098,1098,1098,1098,1098,1915,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,
1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1882,1098,
1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1914,1098,
1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,
1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098,1098

